Date,Open,High,Low,Close,Adj Close,Volume,Nombre
07/08/20,0.726,0.726,0.53,0.599,0.599,4114219,Grupo_Famsa
10/08/20,0.6,0.6,0.519,0.558,0.558,573562,Grupo_Famsa
11/08/20,0.564,0.564,0.53,0.56,0.56,271913,Grupo_Famsa
12/08/20,0.56,0.626,0.56,0.605,0.605,698724,Grupo_Famsa
13/08/20,0.62,0.629,0.601,0.605,0.605,87005,Grupo_Famsa
14/08/20,0.604,0.604,0.563,0.565,0.565,351710,Grupo_Famsa
17/08/20,0.565,0.565,0.536,0.537,0.537,320193,Grupo_Famsa
18/08/20,0.54,0.559,0.539,0.556,0.556,86988,Grupo_Famsa
19/08/20,0.558,0.573,0.558,0.564,0.564,63406,Grupo_Famsa
20/08/20,0.57,0.57,0.533,0.54,0.54,129761,Grupo_Famsa
21/08/20,0.543,0.544,0.5,0.514,0.514,249609,Grupo_Famsa
24/08/20,0.516,0.548,0.516,0.531,0.531,312444,Grupo_Famsa
25/08/20,0.536,0.537,0.5,0.511,0.511,272430,Grupo_Famsa
26/08/20,0.519,0.519,0.475,0.487,0.487,306296,Grupo_Famsa
27/08/20,0.48,0.48,0.45,0.462,0.462,405413,Grupo_Famsa
28/08/20,0.48,0.48,0.41,0.45,0.45,597417,Grupo_Famsa
31/08/20,0.456,0.474,0.456,0.465,0.465,249691,Grupo_Famsa
01/09/20,0.479,0.479,0.461,0.463,0.463,20959,Grupo_Famsa
02/09/20,0.463,0.463,0.435,0.45,0.45,103638,Grupo_Famsa
03/09/20,0.447,0.448,0.43,0.435,0.435,205815,Grupo_Famsa
04/09/20,0.43,0.43,0.408,0.425,0.425,401396,Grupo_Famsa
07/09/20,0.43,0.43,0.41,0.413,0.413,36795,Grupo_Famsa
08/09/20,0.413,0.425,0.408,0.408,0.408,24612,Grupo_Famsa
09/09/20,0.406,0.406,0.4,0.4,0.4,104116,Grupo_Famsa
10/09/20,0.39,0.403,0.39,0.391,0.391,64067,Grupo_Famsa
11/09/20,0.39,0.39,0.38,0.387,0.387,53535,Grupo_Famsa
14/09/20,0.385,0.409,0.378,0.397,0.397,158887,Grupo_Famsa
15/09/20,0.389,0.407,0.37,0.384,0.384,136434,Grupo_Famsa
17/09/20,0.4,0.4,0.34,0.34,0.34,235579,Grupo_Famsa
18/09/20,0.341,0.345,0.279,0.28,0.28,447531,Grupo_Famsa
21/09/20,0.283,0.298,0.283,0.294,0.294,161567,Grupo_Famsa
22/09/20,0.298,0.319,0.281,0.291,0.291,261315,Grupo_Famsa
23/09/20,0.291,0.299,0.28,0.283,0.283,278969,Grupo_Famsa
24/09/20,0.271,0.309,0.271,0.309,0.309,101804,Grupo_Famsa
25/09/20,0.317,0.317,0.29,0.295,0.295,203931,Grupo_Famsa
28/09/20,0.306,0.309,0.296,0.304,0.304,313522,Grupo_Famsa
29/09/20,0.305,0.305,0.3,0.303,0.303,484518,Grupo_Famsa
30/09/20,0.305,0.305,0.3,0.3,0.3,135529,Grupo_Famsa
01/10/20,0.3,0.3,0.297,0.298,0.298,7929,Grupo_Famsa
02/10/20,0.3,0.3,0.293,0.298,0.298,39523,Grupo_Famsa
05/10/20,0.304,0.304,0.296,0.301,0.301,58397,Grupo_Famsa
06/10/20,0.31,0.329,0.3,0.325,0.325,82815,Grupo_Famsa
07/10/20,0.33,0.47,0.33,0.433,0.433,1422718,Grupo_Famsa
08/10/20,0.432,0.489,0.43,0.442,0.442,1477152,Grupo_Famsa
09/10/20,0.45,0.45,0.421,0.442,0.442,383418,Grupo_Famsa
12/10/20,0.429,0.429,0.4,0.405,0.405,135506,Grupo_Famsa
13/10/20,0.405,0.405,0.362,0.384,0.384,472181,Grupo_Famsa
